id,observed_on,user_id,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,taxon_id
16737458,2018-08-20,19215,34.20526981,-110.9832143601,Gila,Arizona,United States,Cypherotylus californicus,1095700
16737526,2018-09-15,375489,34.0463016667,-112.6099733333,Yavapai,Arizona,United States,Ululodes mexicanus,308604
16738773,2018-09-17,1178301,34.3967029,-112.23466736,Yavapai,Arizona,United States,Brachystola magna,122262
16738881,2018-09-20,1178311,34.39676767,-112.23465019,Yavapai,Arizona,United States,Brachystola magna,122262
16739671,2018-08-31,2616,31.381761,-110.224303,Cochise,Arizona,United States,Obolopteryx brevihastata,780565
16739728,2018-08-31,2616,31.361824632,-110.2708909543,Cochise,Arizona,United States,Cucullia lethe,504397
16739736,2018-08-31,2616,31.2797787553,-110.3373622654,Cochise,Arizona,United States,Libellula saturata,47817
16739745,2018-08-31,2616,31.3676623208,-110.2140175126,Cochise,Arizona,United States,Danaus gilippus,51743
16739751,2018-08-31,2616,31.3818906625,-110.234006195,Cochise,Arizona,United States,Trichodes peninsularis,468498
16739754,2018-08-31,2616,31.2310440325,-110.2968960695,Cochise,Arizona,United States,Poecilotettix pantherinus,228466
16739758,2018-08-31,2616,31.3606829806,-110.229080993,Cochise,Arizona,United States,Chlosyne lacinia,68240
16739764,2018-08-31,2616,31.205736096,-110.3002674029,Cochise,Arizona,United States,Melanoplus aridus,194327
16739772,2018-08-31,2616,31.3733934116,-110.3085773668,Cochise,Arizona,United States,Argia hinei,94549
16739776,2018-08-31,2616,31.3692266503,-110.3917852359,Cochise,Arizona,United States,Euchaetes antica,256870
16740189,2018-08-31,2616,31.88362,-109.205583,Cochise,Arizona,United States,Tetraopes skillmani,489948
16740193,2018-08-31,2616,31.883556,-109.205596,Cochise,Arizona,United States,Chauliognathus opacus,491215
16746822,2018-07-02,1626,31.4594914434,-111.2344694138,Santa Cruz,Arizona,United States,Forsebia cinis,354225
16747356,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Melipotis indomita,224855
16748042,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Metaponpneumata rogenhoferi,468659
16750179,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Filatima albilorella,479371
16751924,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Callistege diagonalis,367299
16753154,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Metaponpneumata rogenhoferi,468659
16757418,2018-09-21,20265,32.1213017685,-110.9650217197,Pima,Arizona,United States,Papilio rumiko,509627
16758912,2018-09-21,904914,32.2283401489,-110.9586105347,Pima,Arizona,United States,Sphinx chersis,127169
16761331,2018-09-21,1219162,32.4279976404,-110.7558494994,Pima,Arizona,United States,Adelpha eulalia,67559
16765074,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Tarache quadriplaga,332265
16765183,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Tarache quadriplaga,332265
16765734,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Neumoegenia poetica,367300
16766255,2018-09-21,904914,32.2312311244,-110.9508174285,Pima,Arizona,United States,Odontomachus clarus,300387
16766829,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Agathodes designalis,324817
16767025,2018-09-21,106723,34.3402033333,-109.9479533333,Navajo,Arizona,United States,Danaus plexippus,48662
16768400,2018-07-02,1626,31.4612044,-111.2375949,Santa Cruz,Arizona,United States,Euscirrhopterus gloveri,416381
16768861,2018-07-02,1626,31.4592274855,-111.2343332419,Santa Cruz,Arizona,United States,Prionus heroicus,471292
16769724,2018-09-21,1225665,32.1435503802,-110.9446397984,Pima,Arizona,United States,Apis mellifera,47219
16772618,2018-09-21,1123905,32.326583,-110.699583,Pima,Arizona,United States,Acmaeodera solitaria,506395
16772669,2018-04-08,1626,32.3368773,-110.2408876,Cochise,Arizona,United States,Smerinthus saliceti,143810
16773070,2018-09-21,322120,34.8436864927,-111.7669859842,Coconino,Arizona,United States,Euptoieta claudia,68244
