id,observed_on,user_id,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,scientific_name,taxon_id
44434204,2020-04-24,410488,33.4070527806,-111.890016427,,Maricopa,Arizona,United States,Psamatodes,211968
44434206,2020-04-24,410488,33.4070527806,-111.890016427,,Maricopa,Arizona,United States,Noctuoidea,47607
44434210,2020-04-25,410488,33.4070527806,-111.890016427,,Maricopa,Arizona,United States,Thyanta custator accerra,461380
44434303,2020-04-30,2857219,34.6049506096,-113.2312583014,,Yavapai,Arizona,United States,Conophorus,202625
44435007,2020-04-30,1178311,34.3966606944,-112.23466,,Yavapai,Arizona,United States,Hippodamia convergens,48987
44435021,2020-04-30,1178311,34.3966814722,-112.2346069722,,Yavapai,Arizona,United States,Coccinella septempunctata,51702
44435055,2020-04-30,1178311,34.3966814722,-112.2346069722,,Yavapai,Arizona,United States,Coccinella septempunctata,51702
44435110,2020-04-30,1178311,34.3966814722,-112.2346069722,,Yavapai,Arizona,United States,Hippodamia convergens,48987
44435141,2020-04-30,2857219,34.602485031,-113.2148054141,,Yavapai,Arizona,United States,Carposinidae,173393
44435312,2020-03-25,2864243,34.74604667,-112.06516383,,Yavapai,Arizona,United States,Hyalophora gloveri,236475
44438279,2020-04-30,1902959,33.4161978728,-111.9084242174,,Maricopa,Arizona,United States,Apis mellifera,47219
44438594,2019-04-21,2873093,32.2850827978,-110.736086145,,Pima,Arizona,United States,Augochlorini,203037
44440364,2020-04-26,410488,33.4068016091,-111.8898693557,,Maricopa,Arizona,United States,Brevicoryne brassicae,326910
44440366,2020-04-26,410488,33.4068016091,-111.8898693557,,Maricopa,Arizona,United States,Apis mellifera,47219
44440368,2020-04-26,410488,33.4068016091,-111.8898693557,,Maricopa,Arizona,United States,Coleoptera,47208
44440369,2020-04-26,410488,33.4068016091,-111.8898693557,,Maricopa,Arizona,United States,Lygaeus kalmiicomplex,1019598
44440375,2020-04-27,410488,33.4068016091,-111.8898693557,,Maricopa,Arizona,United States,Pyrausta volupialis,210615
44440376,2020-04-27,410488,33.4068016091,-111.8898693557,,Maricopa,Arizona,United States,Diplazon,84694
44440379,2020-04-27,410488,33.4068016091,-111.8898693557,,Maricopa,Arizona,United States,Psamatodes,211968
44440382,2020-04-27,410488,33.4068016091,-111.8898693557,,Maricopa,Arizona,United States,Lygaeus kalmii,62045
44440511,2020-04-24,2109560,35.061705,-111.467657,,Coconino,Arizona,United States,Hemiptera,47744
44440685,2020-04-30,1368967,32.123558628,-110.8851343573,,Pima,Arizona,United States,Psamatodes abydata,228899
44440795,2020-04-24,2109560,35.0690689722,-111.4647839722,,Coconino,Arizona,United States,Diplotaxis,59476
44440909,2020-04-30,28958,34.6117916667,-111.841935,,Yavapai,Arizona,United States,Telenominae,373552
44441084,2020-04-28,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Trimerotropis pallidipennis,51493
44441085,2020-04-28,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Hermetia illucens,82177
44441086,2020-04-28,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Anasa,143661
44441088,2020-04-28,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Lepidoptera,47157
44441089,2020-04-29,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Anasa,143661
44441091,2020-04-29,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Calyptratae,342767
44441093,2020-04-29,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Lepidoptera,47157
44441095,2020-04-30,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Nysius,176621
44441097,2020-04-30,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Brachymyrmex,68941
44441101,2020-04-30,410488,33.4070529889,-111.8899183273,,Maricopa,Arizona,United States,Leptotes marina,59152
44441550,2020-04-25,410488,33.3990139818,-111.885449415,,Maricopa,Arizona,United States,Periplaneta americana,82231
44442067,2020-04-28,2109560,35.176482,-111.7040259722,,Coconino,Arizona,United States,Chlosyne,53894
44442435,2020-04-29,2109560,35.1282789722,-111.60701,,Coconino,Arizona,United States,Bombus huntii,154043
44444226,2020-04-17,2885186,34.3236344588,-110.9659578279,,Coconino,Arizona,United States,Lepidoptera,47157
44445328,2020-04-30,2624055,33.4821129737,-112.3035528947,,Maricopa,Arizona,United States,Psamatodes,211968
44445612,2020-04-30,2866033,33.45245,-112.142525,,Maricopa,Arizona,United States,Pterygota,184884
44445929,2020-04-30,332438,32.2330504144,-110.9001467285,,Pima,Arizona,United States,Nathalis iole,51773
44446021,2020-04-30,332438,32.2328672284,-110.9003670393,,Pima,Arizona,United States,Ministrymon leda,225163
44446081,2020-04-25,747453,33.933081,-112.694825,,Maricopa,Arizona,United States,Libellula saturata,47817
44446745,2020-04-30,1923420,32.2309216667,-110.952195,,Pima,Arizona,United States,Miridae,53505
44447479,2020-04-30,65660,34.2689639225,-112.915266219,,Yavapai,Arizona,United States,Tenebrionidae,53816
44451100,2020-04-30,2771771,33.4233783985,-112.0971584461,,Maricopa,Arizona,United States,Microcentrum,48131
44458093,2020-04-30,2307494,32.2531563152,-110.9888769833,,Pima,Arizona,United States,Tegrodera,67997
44469636,2020-05-01,662916,33.3,-112.09,,Maricopa,Arizona,United States,Corythucha marmorata,320845
44470574,2020-05-01,2882857,34.4801625889,-114.2865796947,,Mohave,Arizona,United States,Lepidoptera,47157
44478708,2020-04-27,2824341,33.013212,-111.9760964,,Pinal,Arizona,United States,Chloridea virescens,509353
44479318,2020-04-29,2601566,35.18165333,-111.50572167,,Coconino,Arizona,United States,Dasymutilla vestita,154504
44483539,2020-05-01,1951245,31.8367689942,-110.3484552666,,Cochise,Arizona,United States,Euptoieta claudia,68244
44486156,2020-04-30,1047605,31.7219660185,-110.644193199,,Santa Cruz,Arizona,United States,Hemileuca hualapai,221172
44486684,2020-04-29,917390,33.6076733532,-112.1594167873,,Maricopa,Arizona,United States,Chlorochroa sayi,84093
44486828,2020-05-01,107133,32.2718558279,-111.0556099936,,Pima,Arizona,United States,Coliadinae,119556
44488050,2020-05-01,1057719,32.2954828848,-110.979253921,,Pima,Arizona,United States,Rindgea s-signata,362826
44488653,2020-04-30,566566,35.0294232657,-111.7237759382,,Coconino,Arizona,United States,Junonia,48506
44488788,2020-04-30,566566,35.0290368853,-111.7242389663,,Coconino,Arizona,United States,Nymphalis antiopa,56832
44489014,2020-05-01,2721054,33.41954667,-111.945945,,Maricopa,Arizona,United States,Megachilidae,52777
44490252,2020-04-29,2019689,35.1555928504,-111.6769998067,,Coconino,Arizona,United States,Junonia coenia,48505
44492253,2020-05-01,2819800,33.5275474585,-112.106439136,,Maricopa,Arizona,United States,Psamatodes abydata,228899
44494687,2020-05-01,2052958,33.56159667,-111.95571167,,Maricopa,Arizona,United States,Ennominae,123033
44495725,2020-04-20,375489,34.327392528,-111.8363421799,,Yavapai,Arizona,United States,Junonia coenia,48505
44495732,2020-04-20,375489,34.3273517041,-111.8361603108,,Yavapai,Arizona,United States,Hippodamia convergens,48987
44496902,2020-05-01,2131805,32.219155,-110.95543667,,Pima,Arizona,United States,Heteranassa mima,363283
44498440,2020-05-01,259275,32.38031667,-110.966645,,Pima,Arizona,United States,Lithurgopsis echinocacti,493832
44501640,2020-05-01,442615,32.2338866667,-110.680725,,Pima,Arizona,United States,Asterocampa leilia,148793
44503115,2020-05-01,2873093,32.2850827978,-110.736086145,,Pima,Arizona,United States,Ammophila aberti,313038
44508326,2020-05-01,442615,32.2322443411,-110.6813135913,,Pima,Arizona,United States,Diptera,47822
44508328,2020-05-01,442615,32.2322443411,-110.6813135913,,Pima,Arizona,United States,Apodemia mormo,59165
44508333,2020-05-01,442615,32.2322443411,-110.6813135913,,Pima,Arizona,United States,Dymasia dymas,68249
44508336,2020-04-29,442615,32.2421233777,-110.7979908145,,Pima,Arizona,United States,Diptera,47822
44511832,2020-05-01,2507126,33.57655,-111.85559667,,Maricopa,Arizona,United States,Oncopeltus fasciatus,55556
44512739,2020-05-01,2871430,33.54753017,-112.35950674,,Maricopa,Arizona,United States,Gryllinae,122461
44512939,2020-03-03,2871430,33.5572322778,-112.3581785833,,Maricopa,Arizona,United States,Psychodinae,326684
44513403,2020-04-20,322026,34.5215579916,-114.3700478598,,Mohave,Arizona,United States,Cysteodemus armatus,69893
44514055,2020-03-16,2538092,34.1076817075,-109.2729090608,,Apache,Arizona,United States,Coleoptera,47208
44521049,2014-05-05,2460541,36.9427156172,-111.4736858058,,Coconino,Arizona,United States,Efferia,61610
44522937,2020-05-01,259275,32.381225,-110.96646167,,Pima,Arizona,United States,Euxoa auxiliaris,84663
44527461,2020-05-01,762662,31.8102057212,-111.0147097935,,Pima,Arizona,United States,Apis mellifera,47219
44529400,2020-04-30,1047605,31.603895435,-111.0460978668,,Santa Cruz,Arizona,United States,Pseudorgyia russula,506759
44531337,2020-05-01,1508792,32.2302936483,-110.9042028152,,Pima,Arizona,United States,Bagrada hilaris,152131
44534130,2020-04-26,2871451,32.5799026428,-112.8658858314,,Maricopa,Arizona,United States,Eleodes armata,358858
44534333,2020-04-30,2871451,34.5655122084,-112.513891831,,Yavapai,Arizona,United States,Largus succinctus,68009
44534352,2020-04-20,375489,34.3273433333,-111.8361066667,,Yavapai,Arizona,United States,Trimerotropis pallidipennis,51493
44534353,2020-04-20,375489,34.3273566667,-111.8363366667,,Yavapai,Arizona,United States,Chelinidea vittiger,216651
44537708,2020-04-29,747012,34.1679219722,-110.0111459722,,Navajo,Arizona,United States,Geometridae,49530
44538160,2020-04-28,747012,34.168098,-110.01151,,Navajo,Arizona,United States,Coreinae,319231
44539944,2020-04-30,2549081,34.50816667,-112.37405333,,Yavapai,Arizona,United States,Largus californicus,52986
44540749,2020-05-01,2593688,31.5918,-111.317855,,Pima,Arizona,United States,Agraulis vanillae,49150
44541076,2020-05-01,2593688,31.59203333,-111.31739667,,Pima,Arizona,United States,Membracidae,49024
44542281,2020-05-01,1951245,31.8335278563,-110.3459008747,,Cochise,Arizona,United States,Bombus sonorus,57690
44544732,2020-05-01,28958,34.75959,-112.0387883333,,Yavapai,Arizona,United States,Oncerometopus nigriclavus,335826
44546481,2018-03-13,2889888,33.4576833724,-112.0336010739,,Maricopa,Arizona,United States,Agraulis vanillae,49150
44547772,2020-05-01,550238,34.9929415668,-111.7147954648,,Coconino,Arizona,United States,Camponotus vicinus,68959
44548072,2020-05-01,2890506,33.352826,-111.789027,,Maricopa,Arizona,United States,Hermetia illucens,82177
44548470,2020-05-01,2857219,34.603817585,-113.2307094847,,Yavapai,Arizona,United States,Euphydryas chalcedona,50892
44551188,2020-05-01,1515318,33.6008407445,-111.9468492098,,Maricopa,Arizona,United States,Cucujiformia,372852
