siteID,State,year,sitevisits
21133,CA,2020,6
21133,CA,2019,8
21133,CA,2018,13
21134,CA,2020,6
21134,CA,2019,8
21134,CA,2018,12
21140,CA,2020,5
21140,CA,2019,5
21140,CA,2018,11
21141,CA,2020,5
21141,CA,2019,5
21141,CA,2018,11
21142,CA,2020,5
21142,CA,2019,5
21142,CA,2018,10
21143,CA,2020,5
21143,CA,2019,5
21143,CA,2018,11
21144,CA,2020,5
21144,CA,2019,5
21144,CA,2018,11
21285,CA,2018,2
21371,CA,2019,1
21371,CA,2018,4
22149,CA,2019,2
22149,CA,2018,2
22408,CA,2020,1
22740,CA,2020,1
22740,CA,2019,7
22740,CA,2018,6
22858,CA,2020,13
22858,CA,2019,13
22858,CA,2018,11
22906,CA,2020,2
22906,CA,2019,11
22906,CA,2018,7
23390,CA,2020,4
23390,CA,2019,2
23390,CA,2018,2
23452,CA,2018,1
23812,CA,2020,1
23812,CA,2019,5
23812,CA,2018,8
23838,CA,2018,6
23985,CA,2018,6
24998,CA,2018,3
25118,CA,2018,3
26104,CA,2019,4
26230,CA,2019,1
26230,CA,2018,2
26546,CA,2020,8
26546,CA,2019,5
26546,CA,2018,8
26955,CA,2018,1
27172,CA,2018,1
27407,CA,2020,13
27407,CA,2019,13
27407,CA,2018,11
27544,CA,2019,4
27544,CA,2018,11
27847,CA,2018,10
28115,CA,2020,2
28115,CA,2019,9
28115,CA,2018,7
28636,CA,2018,9
28647,CA,2018,3
28680,CA,2018,4
28764,CA,2018,3
28835,CA,2018,4
28889,CA,2018,1
29064,CA,2018,1
29245,CA,2018,3
29251,CA,2018,1
29254,CA,2018,1
29281,CA,2018,1
29289,CA,2018,1
29293,CA,2018,3
29295,CA,2018,1
29296,CA,2018,1
29325,CA,2018,1
29333,CA,2018,13
29335,CA,2018,1
29342,CA,2018,1
29343,CA,2018,1
29344,CA,2018,1
29346,CA,2018,2
29358,CA,2018,7
29373,CA,2018,2
29375,CA,2018,1
29379,CA,2018,1
29382,CA,2018,1
29395,CA,2018,2
29405,CA,2018,1
29408,CA,2018,1
29412,CA,2018,1
29414,CA,2018,1
29415,CA,2018,2
29420,CA,2018,2
29426,CA,2018,1
29431,CA,2018,3
29432,CA,2018,2
29439,CA,2018,3
29441,CA,2018,1
29442,CA,2018,2
29443,CA,2018,1
29451,CA,2018,2
29456,CA,2018,1
29457,CA,2018,3
29460,CA,2018,2
29461,CA,2018,3
29462,CA,2018,1
29463,CA,2018,2
29465,CA,2018,1
29470,CA,2018,2
29471,CA,2018,1
29472,CA,2018,2
29475,CA,2018,1
